title,price,location,Registration Year,Insurance,Fuel Type,Kms Driven,RTO,Ownership
2019 Hyundai Xcent Petrol,₹5.30 Lakh,"Vadapalani, Chennai",May 2019,Comprehensive,Petrol,"25,707 Kms",Melur,Second Owner
2021 Audi A4 Premium Plus,₹24.50 Lakh,Chennai,2021,Expired,Petrol,"60,000 Kms",Chennai,First Owner
2019 Ford Ecosport 1.5 Diesel Titanium BSIV,₹8.50 Lakh,"West Saidapet, Chennai",Feb 2019,Expired,Diesel,"25,000 Kms",Chennai,First Owner
2017 Mercedes-Benz E-Class E 350d,₹30 Lakh,"Kottivakkam, Chennai",Feb 2017,Comprehensive,Diesel,"98,000 Kms",Chennai,First Owner
2015 Toyota Corolla Altis 1.8 VL AT,₹8.25 Lakh,"Thygaraya Nagar, Chennai",Sept 2015,Comprehensive,Petrol,"85,000 Kms",Chennai,Second Owner
2018 Renault KWID RXT,₹3.55 Lakh,"Airport, Chennai",Feb 2018,Comprehensive,Petrol,"36,606 Kms",Chennai,First Owner
2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹5.86 Lakh,"Vadapalani, Chennai",May 2019,Comprehensive,Petrol,"22,028 Kms",Chennai,First Owner
2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹4.69 Lakh,"Vadapalani, Chennai",Jun 2018,Comprehensive,Petrol,"42,235 Kms",Chennai,Second Owner
2022 Renault Triber RXZ,₹7.28 Lakh,"Vadapalani, Chennai",Mar 2022,Comprehensive,Petrol,"26,896 Kms",Chennai,First Owner
2012 Maruti Wagon R VXI,₹3.10 Lakh,"MEENAMBAKKAM, Chennai",Nov 2012,Expired,Petrol,"74,346 Kms",Chennai,First Owner
2022 Renault KWID 1.0 RXT Opt,₹4.32 Lakh,"Vadapalani, Chennai",Mar 2022,Comprehensive,Petrol,"24,609 Kms",Cuddalore,First Owner
2018 Hyundai Grand i10 1.2 Kappa Asta,₹5.61 Lakh,"Vadapalani, Chennai",Oct 2018,Comprehensive,Petrol,"17,124 Kms",Chennai,First Owner
2019 Nissan Micra XV CVT,₹4.25 Lakh,Chennai,2019,Expired,Petrol,"60,000 Kms",Poonamallee,First Owner
2022 Tata Tiago NRG XZ,₹6.07 Lakh,"Vadapalani, Chennai",Aug 2022,Comprehensive,Petrol,"25,407 Kms",Chennai,First Owner
2022 Skoda Kushaq 1.0 TSI Style,₹12.94 Lakh,"Vadapalani, Chennai",Feb 2022,Comprehensive,Petrol,"38,308 Kms",Chennai,First Owner
2013 BMW X3 xDrive30d,₹9.90 Lakh,"Paltra, Gurgaon",Dec 2015,Expired,Diesel,"49,000 Kms",Gurgaon,Second Owner
2020 Mercedes-Benz GLE 300d BSVI,₹70 Lakh,"Thygaraya Nagar, Chennai",Oct 2020,Comprehensive,Diesel,"30,000 Kms",Chennai,First Owner
2018 Renault Duster 85PS Diesel RxS,₹7.50 Lakh,"Thygaraya Nagar, Chennai",Feb 2019,Comprehensive,Diesel,"84,000 Kms",Chennai,First Owner
2018 Maruti Wagon R VXI BS IV,₹3.79 Lakh,"Thiruverkadu, Chennai",Jun 2018,Comprehensive,Petrol,"78,412 Kms",Chennai,Second Owner
2015 Hyundai EON Era Plus,₹2.90 Lakh,"Anna Nagar, Chennai",Jun 2015,Comprehensive,Petrol,"28,000 Kms",Chennai,First Owner
2023 Maruti Swift VXI,₹7.95 Lakh,"Anna Nagar, Chennai",Dec 2023,Comprehensive,Petrol,"8,000 Kms",Viluppuram,First Owner
2019 Hyundai Xcent 1.2 VTVT S,₹5.60 Lakh,"Chromepet, Chennai",Feb 2020,Comprehensive,Petrol,"44,259 Kms",Chennai,First Owner
2020 MG Hector Plus Sharp Hybrid MT,₹12 Lakh,Chennai,2020,Expired,Petrol,"30,000 Kms",Chennai,First Owner
2019 Maruti S Cross Delta DDiS 200 SH,₹7.95 Lakh,"Anna Nagar, Chennai",Jul 2019,Comprehensive,Diesel,"60,001 Kms",Chennai,First Owner
2018 Renault KWID 1.0 RXT Optional,₹3.40 Lakh,"Thiruverkadu, Chennai",Jan 2019,Comprehensive,Petrol,"50,236 Kms",red hills,Second Owner
2020 Toyota Fortuner 2.8 2WD MT,₹28 Lakh,"Ashoknagar, Chennai",Oct 2020,Comprehensive,Diesel,"1,33,000 Kms",Chennai,Second Owner
2011 Audi Q7 3.0 TDI Quattro Premium Plus,₹12.50 Lakh,"Ashoknagar, Chennai",Nov 2011,Comprehensive,Diesel,"1,10,000 Kms",Pondicherry,Second Owner
2013 Nissan Micra XL,₹2.95 Lakh,"Meenambakkam, Chennai",May 2014,Comprehensive,Petrol,"61,980 Kms",Chennai,First Owner
2017 Maruti Swift Dzire AMT VXI,₹4.93 Lakh,"Thiruverkadu, Chennai",Nov 2017,Comprehensive,Petrol,"45,958 Kms",Chennai,Second Owner
2020 Honda City V MT,₹7.25 Lakh,"Velacheri, Chennai",Mar 2020,Third Party,Petrol,"37,000 Kms",Attur,Second Owner
2022 Hyundai Grand i10 1.2 Kappa Magna BSIV,₹5.30 Lakh,"Vadapalani, Chennai",Jun 2022,Comprehensive,Petrol,"50,727 Kms",Chennai,First Owner
2016 Hyundai Grand i10 Sportz,₹3.90 Lakh,Chennai,2016,Expired,Petrol,"50,000 Kms",Chennai,First Owner
2011 Skoda Laura Ambiente 2.0 TDI CR AT,₹2.50 Lakh,Chennai,2011,Expired,Diesel,"1,60,000 Kms",,Third Owner
2014 Hyundai Verna 1.6 SX VTVT,₹4.50 Lakh,Chennai,2014,Expired,Petrol,"51,000 Kms",,Third Owner
2017 Volkswagen Ameo 1.2 MPI Comfortline,₹4.50 Lakh,Chennai,2017,Expired,Petrol,"40,000 Kms",Chennai,Second Owner
2018 Audi Q3 35 TDI Quattro Premium Plus,₹21.90 Lakh,"Paltra, Gurgaon",Oct 2018,Expired,Diesel,"25,000 Kms",New Delhi,First Owner
2020 Kia Seltos HTK Plus D,₹12.95 Lakh,"Anna Nagar, Chennai",Aug 2020,Comprehensive,Diesel,"40,000 Kms",Chennai,First Owner
2022 Maruti Ignis Zeta BSVI,₹5.32 Lakh,"Vadapalani, Chennai",Apr 2022,Expired,Petrol,"37,477 Kms",red hills,First Owner
2016 Maruti Baleno 1.2 Zeta,₹4.85 Lakh,"Vadapalani, Chennai",Apr 2016,Comprehensive,Petrol,"70,884 Kms",Chennai,First Owner
2021 Kia Seltos HTX G,₹13.50 Lakh,"Thygaraya Nagar, Chennai",Oct 2021,Comprehensive,Petrol,"20,000 Kms",Chennai,First Owner
2015 Maruti Celerio VXI AT,₹3.55 Lakh,"Ashoknagar, Chennai",Dec 2015,Comprehensive,Petrol,"55,000 Kms",Chennai,First Owner
2013 Hyundai i20 Sportz 1.2,₹4 Lakh,Chennai,2013,Expired,Petrol,"50,000 Kms",,First Owner
2012 Maruti Alto K10 2010-2014 VXI,₹2.35 Lakh,"Vadapalani, Chennai",2012,Expired,Petrol,"30,000 Kms",Chennai,First Owner
2020 Toyota Innova Crysta 2.4 VX 8 STR,₹22.50 Lakh,"Thygaraya Nagar, Chennai",Aug 2020,Comprehensive,Diesel,"59,000 Kms",Chennai,First Owner
2021 Honda Amaze VX BSVI,₹7.40 Lakh,"Vadapalani, Chennai",2021,Expired,Petrol,"30,000 Kms",Chennai,First Owner
2017 Maruti Celerio ZXI Optional,₹4.35 Lakh,"Anna Nagar, Chennai",Sept 2017,Comprehensive,Petrol,"20,304 Kms",Poonamallee,First Owner
2019 Mercedes-Benz C-Class Progressive C 220d,₹32 Lakh,"Thygaraya Nagar, Chennai",Jul 2019,Comprehensive,Diesel,"20,000 Kms",Chennai,Second Owner
2021 Honda Jazz ZX,₹8.22 Lakh,"Vadapalani, Chennai",Apr 2021,Comprehensive,Petrol,"44,000 Kms",Sivakasi,First Owner
2018 Toyota Innova Crysta 2.4 VX MT 8S BSIV,₹20.20 Lakh,"Anna Nagar West Extension, Chennai",2018,Expired,Diesel,"40,000 Kms",Chennai,First Owner
2021 Hyundai Venue SX,₹9.74 Lakh,"Vadapalani, Chennai",Aug 2021,Comprehensive,Petrol,"49,174 Kms",Chennai,First Owner
2021 Honda City ZX MT,₹11.30 Lakh,"Vadapalani, Chennai",Apr 2021,Expired,Petrol,"55,564 Kms",Chennai,First Owner
2020 Hyundai Creta SX Opt IVT BSVI,₹14.25 Lakh,"Vadapalani, Chennai",Aug 2020,Comprehensive,Petrol,"14,000 Kms",Chennai,First Owner
2011 Hyundai i20 1.2 Sportz,₹2 Lakh,"Vadapalani, Chennai",2011,Expired,Petrol,"80,000 Kms",Chennai,Third Owner
2017 Mahindra Bolero Power Plus ZLX,₹6.90 Lakh,"Vadapalani, Chennai",Jun 2017,Comprehensive,Diesel,"6,40,000 Kms",Chennai,First Owner
2020 Hyundai Verna SX Diesel,₹9.62 Lakh,"Vadapalani, Chennai",Aug 2020,Comprehensive,Diesel,"12,706 Kms",Madurai,First Owner
2015 Honda City SV MT,₹5.30 Lakh,"Ganapathipuram, Chennai",Jun 2015,Expired,Petrol,"1,08,818 Kms",Chennai,First Owner
2016 Renault Duster 85PS Diesel RxZ,₹6.50 Lakh,"Medavakkam, Chennai",2016,Expired,Diesel,"50,000 Kms",Chennai,First Owner
2017 Hyundai Grand i10 1.2 Kappa Sportz Option,₹4.49 Lakh,"Ganapathipuram, Chennai",Dec 2017,Expired,Petrol,"75,024 Kms",Chennai,First Owner
2022 Nissan Magnite XV BSVI,₹6.16 Lakh,"Medavakkam, Chennai",Jul 2022,Zero Dep,Petrol,"50,771 Kms",Chennai,First Owner
2020 Mercedes-Benz C-Class Progressive C 220d,₹33 Lakh,"Thygaraya Nagar, Chennai",2020,Expired,Diesel,"60,000 Kms",,Second Owner
2021 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹5.83 Lakh,"Medavakkam, Chennai",Dec 2021,Comprehensive,Petrol,"28,337 Kms",Chennai,First Owner
2021 Honda City ZX MT,₹11.87 Lakh,"Vadapalani, Chennai",Oct 2021,Comprehensive,Petrol,"30,385 Kms",Chennai,First Owner
2023 Audi S5 Sportback 3.0L TFSI Quattro BSVI,₹75 Lakh,"Paltra, Gurgaon",,Expired,Petrol,"1,900 Kms",,
2015 Mercedes-Benz E-Class AMG E63 S,₹17 Lakh,"Thygaraya Nagar, Chennai",Aug 2015,Comprehensive,Petrol,"88,000 Kms",Sulur,First Owner
2014 Volkswagen Vento 1.5 TDI Highline,₹4 Lakh,"Ganapathipuram, Chennai",2014,Expired,Diesel,"80,000 Kms",Chennai,Second Owner
2016 Maruti Swift Dzire ZXI,₹5 Lakh,"Ganapathipuram, Chennai",2016,Expired,Petrol,"60,000 Kms",Chennai,First Owner
2015 Honda City i DTEC SV,₹5.60 Lakh,"Medavakkam, Chennai",Nov 2015,Comprehensive,Diesel,"89,400 Kms",Chennai,First Owner
2021 MG Hector Sharp Diesel MT,₹16 Lakh,"Thygaraya Nagar, Chennai",Nov 2021,Comprehensive,Diesel,"90,000 Kms",Poonamallee,First Owner
2021 Nissan Magnite Turbo XV Premium,₹8.73 Lakh,"Vadapalani, Chennai",Jan 2021,Comprehensive,Petrol,"26,218 Kms",Chennai,First Owner
2018 Maruti Swift AMT ZXI Plus,₹6.11 Lakh,"Medavakkam, Chennai",Jul 2018,Comprehensive,Petrol,"62,453 Kms",Poonamallee,First Owner
2022 Honda City V MT,₹12.25 Lakh,"Vadapalani, Chennai",Dec 2022,Comprehensive,Petrol,"14,351 Kms",Chennai,First Owner
2021 Honda City ZX MT,₹9.63 Lakh,"Vadapalani, Chennai",Mar 2021,Zero Dep,Petrol,"69,464 Kms",Coimbatore,First Owner
2022 Skoda Slavia 1.0 TSI Style AT BSVI,₹12.93 Lakh,"Vadapalani, Chennai",Mar 2022,Comprehensive,Petrol,"19,624 Kms",Chennai,First Owner
2022 Maruti Swift Dzire ZXI AT BSVI,₹6.73 Lakh,"Vadapalani, Chennai",Nov 2022,Zero Dep,Petrol,"45,639 Kms",Tiruvallur,First Owner
2022 Skoda Slavia 1.5 TSI Style AT,₹15.90 Lakh,"Medavakkam, Chennai",Aug 2022,Comprehensive,Petrol,"30,000 Kms",Tirunelveli,First Owner
2015 Hyundai Grand i10 1.2 Kappa Asta,₹4.58 Lakh,"Vadapalani, Chennai",Jan 2016,Comprehensive,Petrol,"57,600 Kms",Chennai,First Owner
2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,₹4.60 Lakh,"Ganapathipuram, Chennai",Nov 2018,Zero Dep,Petrol,"48,304 Kms",Chennai,First Owner
2017 Honda Jazz VX,₹5.41 Lakh,"Medavakkam, Chennai",Aug 2017,Comprehensive,Petrol,"49,186 Kms",Chengalpattu,First Owner
2018 Maruti Ignis 1.3 AMT Alpha,₹4.50 Lakh,"Ganapathipuram, Chennai",2018,Expired,Diesel,"70,000 Kms",Pondicherry,First Owner
2023 Hyundai Verna SX IVT,₹14.10 Lakh,"Vadapalani, Chennai",2023,Expired,Petrol,"20,000 Kms",Chennai,First Owner
2016 Volkswagen Ameo 1.5 TDI Highline,₹4.93 Lakh,"Ganapathipuram, Chennai",Aug 2016,Comprehensive,Diesel,"43,813 Kms",red hills,First Owner
2019 Tata Nexon 1.2 Revotron XZ Plus,₹6.85 Lakh,"Vadapalani, Chennai",Oct 2019,Comprehensive,Petrol,"43,000 Kms",Chennai,First Owner
2016 Hyundai i20 Magna 1.2,₹4.44 Lakh,"Vadapalani, Chennai",Feb 2017,Comprehensive,Petrol,"74,837 Kms",Chennai,Second Owner
2017 Mercedes-Benz GLC 220d 4MATIC Sport,₹33.75 Lakh,"Thygaraya Nagar, Chennai",Aug 2017,Comprehensive,Diesel,"65,000 Kms",Chennai,First Owner
2018 Maruti Wagon R VXI Plus,₹4.25 Lakh,Chennai,2018,Expired,Petrol,"70,000 Kms",Doda,Second Owner
2015 Hyundai Verna 1.6 VTVT S Option,₹5.10 Lakh,"Ganapathipuram, Chennai",Sept 2015,Comprehensive,Petrol,"98,512 Kms",Chennai,First Owner
2015 Hyundai i20 Sportz Petrol,₹3.62 Lakh,"Ganapathipuram, Chennai",May 2015,Expired,Petrol,"77,708 Kms",Chennai,First Owner
2020 Renault KWID 1.0 RXT Opt,₹3.98 Lakh,"Ganapathipuram, Chennai",Dec 2020,Comprehensive,Petrol,"39,016 Kms",Salem,First Owner
2021 Maruti Alto 800 VXI BSVI,₹3.58 Lakh,"Chromepet, Chennai",Aug 2021,Comprehensive,Petrol,"15,829 Kms",Chennai,First Owner
2022 Toyota Hyryder V HYBRID,₹18.47 Lakh,"Thygaraya Nagar, Chennai",Dec 2022,Comprehensive,Petrol,"12,618 Kms",Chennai,First Owner
2018 Mahindra XUV500 W11 FWD Diesel,₹12.50 Lakh,"Vadapalani, Chennai",Sept 2018,Comprehensive,Diesel,"1,25,000 Kms",Chennai,Second Owner
2016 Renault KWID RXT,₹2.70 Lakh,"Chromepet, Chennai",Feb 2016,Comprehensive,Petrol,"26,872 Kms",Chennai,Second Owner
2016 Hyundai Grand i10 1.2 Kappa Magna BSIV,₹4.07 Lakh,"Ganapathipuram, Chennai",Jun 2016,Comprehensive,Petrol,"52,186 Kms",Chennai,First Owner
2023 MG ZS EV Exclusive,₹18.90 Lakh,"Thygaraya Nagar, Chennai",Oct 2023,Comprehensive,Electric,"25,713 Kms",Madurai,First Owner
2024 Hyundai Venue SX Opt Turbo DT,₹14.50 Lakh,"Ganapathipuram, Chennai",Mar 2024,Comprehensive,Petrol,"3,200 Kms",Chennai,First Owner
2018 Hyundai i20 1.4 Asta,₹6.75 Lakh,"Vadapalani, Chennai",Sept 2018,Comprehensive,Diesel,"48,000 Kms",Chennai,First Owner
2017 Honda City i-VTEC VX,₹8 Lakh,"Vadapalani, Chennai",2017,Expired,Petrol,"40,000 Kms",Chennai,First Owner
2015 Hyundai i20 Sportz Option 1.2,₹5.80 Lakh,Chennai,2015,Expired,Petrol,"60,000 Kms",Chennai,First Owner
2014 BMW 1 Series 118d Sport Line,₹11.50 Lakh,"Vadapalani, Chennai",2014,Expired,Diesel,"50,000 Kms",Chennai,Third Owner
2018 Hyundai i20 Asta,₹6.97 Lakh,"Vadapalani, Chennai",Aug 2018,Comprehensive,Petrol,"33,693 Kms",Chennai,First Owner
2015 Maruti Swift Dzire VXI,₹4.12 Lakh,"Ganapathipuram, Chennai",Feb 2015,Comprehensive,Petrol,"98,685 Kms",Chennai,First Owner
2016 Hyundai Grand i10 Asta Option AT,₹4.58 Lakh,"Ganapathipuram, Chennai",Feb 2017,Third Party,Petrol,"15,368 Kms",Chennai,First Owner
2019 Audi A6 45 TFSI Technology WO Matrix BSVI,₹35.90 Lakh,"Thygaraya Nagar, Chennai",Aug 2020,Expired,Petrol,"58,000 Kms",hansi,Second Owner
2020 Kia Sonet GTX Plus Turbo DCT DT,₹9.71 Lakh,"Vadapalani, Chennai",Dec 2020,Comprehensive,Petrol,"65,655 Kms",Chennai,First Owner
2020 Maruti Wagon R ZXI AMT 1.2,₹4.88 Lakh,"Ganapathipuram, Chennai",Dec 2020,Comprehensive,Petrol,"90,908 Kms",Chennai,First Owner
2015 Maruti Celerio VXI,₹3.52 Lakh,"Chromepet, Chennai",Dec 2015,Comprehensive,Petrol,"65,191 Kms",Chennai,Second Owner
2022 Maruti Ignis Zeta BSVI,₹5.45 Lakh,"Medavakkam, Chennai",Apr 2022,Comprehensive,Petrol,"52,000 Kms",Poonamallee,First Owner
2019 Volkswagen Vento 1.2 TSI Highline AT,₹7.90 Lakh,"Vadapalani, Chennai",Dec 2019,Comprehensive,Petrol,"63,000 Kms",Chennai,First Owner
2019 Maruti Swift ZXI Plus,₹5.81 Lakh,"Medavakkam, Chennai",Mar 2019,Comprehensive,Petrol,"24,985 Kms",Chennai,Second Owner
2021 Maruti Baleno Zeta,₹5.91 Lakh,"Medavakkam, Chennai",Feb 2021,Third Party,Petrol,"56,392 Kms",Chennai,Second Owner
2021 Renault Triber RXZ BSVI,₹5.35 Lakh,"Ganapathipuram, Chennai",Dec 2021,Comprehensive,Petrol,"37,000 Kms",Chennai,First Owner
2022 Renault Triber RXZ Dual Tone,₹8.85 Lakh,"Vadapalani, Chennai",Aug 2022,Comprehensive,Petrol,"12,517 Kms",Chennai,First Owner
2017 Hyundai Grand i10 1.2 Kappa Asta,₹4.53 Lakh,"Ganapathipuram, Chennai",Mar 2017,Comprehensive,Petrol,"61,858 Kms",Chennai,First Owner
2021 Kia Carnival Premium,₹27 Lakh,"Peelamedu, Coimbatore",May 2021,Comprehensive,Diesel,"1,00,000 Kms",Nagapattinam,First Owner
2013 Audi Q7 3.0 TDI quattro,₹18 Lakh,"Thygaraya Nagar, Chennai",Jan 2013,Comprehensive,Diesel,"1,35,002 Kms",Chengalpattu,Second Owner
2019 Maruti Ertiga VXI,₹9 Lakh,"Vadapalani, Chennai",Feb 2019,Comprehensive,Petrol,"59,000 Kms",Chennai,First Owner
2021 Maruti S-Presso VXI,₹4.54 Lakh,"Ganapathipuram, Chennai",Jan 2022,Comprehensive,Petrol,"30,764 Kms",Chennai,First Owner
2017 Hyundai Grand i10 Magna,₹4.45 Lakh,"Ganapathipuram, Chennai",Jun 2017,Comprehensive,Petrol,"55,824 Kms",Chennai,First Owner
2022 Maruti S-Presso VXI CNG,₹4.78 Lakh,"Ganapathipuram, Chennai",Mar 2023,Expired,CNG,"60,578 Kms",red hills,First Owner
2018 Honda Amaze E i-VTEC,₹4.60 Lakh,"Ganapathipuram, Chennai",2018,Expired,Petrol,"50,000 Kms",Chennai,First Owner
2018 BMW 5 Series 520d Luxury Line,₹34.90 Lakh,"Thygaraya Nagar, Chennai",Apr 2018,Comprehensive,Diesel,"47,825 Kms",Tiruchirappalli,Second Owner
2021 Jeep Compass 2.0 Sport Diesel BSVI,₹13.25 Lakh,"Vadapalani, Chennai",2021,Expired,Diesel,"40,000 Kms",,First Owner
2022 Volkswagen Virtus Highline BSVI,₹11 Lakh,"Vadapalani, Chennai",2022,Expired,Petrol,"40,000 Kms",Chennai,First Owner
2016 Ford Ecosport 1.5 Ti VCT AT Titanium BSIV,₹5.27 Lakh,"Ganapathipuram, Chennai",Jun 2016,Comprehensive,Petrol,"25,461 Kms",Chennai,Second Owner
2021 Hyundai Aura SX Plus AMT Diesel,₹6.85 Lakh,"Vadapalani, Chennai",Sept 2021,Comprehensive,Diesel,"36,265 Kms",Chennai,First Owner
2017 Maruti Baleno 1.2 Alpha,₹6.45 Lakh,"Medavakkam, Chennai",Sept 2017,Comprehensive,Petrol,"74,000 Kms",Chennai,First Owner
2014 Hyundai i20 Asta 1.2,₹4.90 Lakh,"Chromepet, Chennai",Nov 2014,Comprehensive,Petrol,"66,213 Kms",Chennai,First Owner
2006 Hyundai Santro Xing XO eRLX Euro II,₹1.85 Lakh,"Vadapalani, Chennai",Nov 2006,Expired,Petrol,"72,110 Kms",Chennai,First Owner
2018 Maruti Celerio X VXI BSIV,₹3.90 Lakh,"Ganapathipuram, Chennai",Mar 2019,Comprehensive,Petrol,"53,000 Kms",Chennai,First Owner
2017 Maruti Baleno 1.2 Zeta,₹5.80 Lakh,"Medavakkam, Chennai",Nov 2017,Expired,Petrol,"80,000 Kms",red hills,First Owner
2019 Toyota Innova Crysta 2.4 ZX MT BSIV,₹21 Lakh,"Anna Nagar West Extension, Chennai",Mar 2019,Comprehensive,Diesel,"97,000 Kms",Chennai,Second Owner
2020 Hyundai Creta SX Opt Turbo DCT,₹12.74 Lakh,"Vadapalani, Chennai",Jun 2020,Comprehensive,Petrol,"77,592 Kms",Madurai,First Owner
2012 Hyundai i10 Sportz AT,₹3.45 Lakh,"Chromepet, Chennai",Dec 2012,Comprehensive,Petrol,"47,521 Kms",red hills,First Owner
2020 Nissan Sunny Diesel XV,₹7.61 Lakh,"Vadapalani, Chennai",Mar 2020,Comprehensive,Diesel,"52,841 Kms",Chennai,First Owner
2022 Tata Safari XZ Plus Adventure Edition BSVI,₹17.50 Lakh,"Thygaraya Nagar, Chennai",2022,Expired,Diesel,"30,000 Kms",Thoothukudi,First Owner
2018 Jeep Compass 1.4 Limited Option,₹15.50 Lakh,"Thygaraya Nagar, Chennai",Nov 2018,Comprehensive,Petrol,"22,000 Kms",Chennai,First Owner
2024 Hyundai Grand i10 Nios Sportz,₹7.47 Lakh,"Vadapalani, Chennai",Aug 2024,Comprehensive,Petrol,"2,489 Kms",Chennai,First Owner
2016 Honda City 1.5 V MT Exclusive,₹6.90 Lakh,"Vadapalani, Chennai",Jun 2016,Expired,Petrol,"50,276 Kms",Chennai,First Owner
2017 Hyundai Creta 1.6 VTVT AT SX Plus,₹9 Lakh,"Vadapalani, Chennai",2017,Expired,Petrol,"70,000 Kms",Chennai,First Owner
2020 Honda City V MT,₹9.20 Lakh,"Vadapalani, Chennai",Oct 2020,Comprehensive,Petrol,"42,972 Kms",Chennai,First Owner
2016 Hyundai i20 Sportz 1.2,₹5.12 Lakh,"Ganapathipuram, Chennai",Dec 2016,Comprehensive,Petrol,"37,985 Kms",Chennai,First Owner
2018 Land Rover Discovery Sport SD4 HSE Luxury 7S,₹31.50 Lakh,"Thygaraya Nagar, Chennai",Aug 2018,Comprehensive,Diesel,"38,000 Kms",Chennai,Second Owner
2017 Honda Jazz 1.2 VX i VTEC,₹4.65 Lakh,"Vadapalani, Chennai",Mar 2017,Comprehensive,Petrol,"71,634 Kms",Vellore,Second Owner
2018 Volkswagen Polo 1.2 MPI Highline Plus,₹5.90 Lakh,"Meenambakkam, Chennai",May 2018,Comprehensive,Petrol,"1,15,588 Kms",Dharmapuri,First Owner
2019 Hyundai Creta 1.6 E Plus,₹8.05 Lakh,"Vadapalani, Chennai",Jun 2019,Third Party,Petrol,"43,159 Kms",Chennai,First Owner
2020 BMW X3 xDrive 20d xLine,₹38.50 Lakh,"Ashoknagar, Chennai",Aug 2020,Comprehensive,Diesel,"75,000 Kms",Melur,Second Owner
2017 Hyundai i20 Asta 1.2,₹5.31 Lakh,"Thiruverkadu, Chennai",Jun 2017,Comprehensive,Petrol,"81,870 Kms",Chennai,First Owner
2015 Hyundai Grand i10 1.2 Kappa Asta,₹3.94 Lakh,"Vadapalani, Chennai",Apr 2015,Comprehensive,Petrol,"1,18,047 Kms",Chennai,First Owner
2019 Honda Jazz VX Diesel,₹6.59 Lakh,"Medavakkam, Chennai",Jan 2020,Comprehensive,Diesel,"1,06,026 Kms",Melur,First Owner
2015 Audi Q3 35 TDI Quattro Premium Plus,₹18 Lakh,"Thygaraya Nagar, Chennai",2015,Expired,Diesel,"1,20,000 Kms",Chennai,First Owner
2016 Maruti Baleno Zeta Diesel,₹5.13 Lakh,"Ganapathipuram, Chennai",Jun 2016,Comprehensive,Diesel,"1,26,610 Kms",Chennai,First Owner
2015 Maruti Ertiga ZXI,₹6.50 Lakh,"Medavakkam, Chennai",Jun 2015,Comprehensive,Petrol,"66,953 Kms",Chennai,First Owner
2019 Tata Tiago XZ Plus,₹4.83 Lakh,"Ganapathipuram, Chennai",Dec 2019,Third Party,Petrol,"29,639 Kms",Chennai,First Owner
2021 Hyundai Venue SX Opt iMT,₹8.22 Lakh,"Vadapalani, Chennai",Jun 2021,Expired,Petrol,"9,007 Kms",Poonamallee,Second Owner
2017 Renault KWID RXT,₹3.30 Lakh,"Chromepet, Chennai",Jan 2018,Comprehensive,Petrol,"45,464 Kms",Chennai,First Owner
2022 Mercedes-Benz EQS 580 4Matic,₹92 Lakh,"Paltra, Gurgaon",Feb 2023,Comprehensive,Electric,"4,700 Kms",Chennai,First Owner
2014 Renault Duster 85PS Diesel RxE,₹4.90 Lakh,"Ganapathipuram, Chennai",Jun 2014,Comprehensive,Diesel,"86,000 Kms",Chennai,Second Owner
2014 Honda City V MT,₹5.26 Lakh,"Ganapathipuram, Chennai",Jul 2014,Comprehensive,Petrol,"55,000 Kms",Chennai,First Owner
2022 Maruti Wagon R ZXI Plus Dual Tone BSVI,₹6 Lakh,"Medavakkam, Chennai",2022,Expired,Petrol,"10,000 Kms",Poonamallee,First Owner
2017 Hyundai Grand i10 1.2 Kappa Asta,₹4.72 Lakh,"Ganapathipuram, Chennai",Jan 2018,Comprehensive,Petrol,"35,811 Kms",Chennai,Second Owner
2023 Toyota Innova Hycross VX(O) 7STR Hybrid,₹32.50 Lakh,"Thygaraya Nagar, Chennai",Nov 2023,Comprehensive,Petrol,"16,000 Kms",Chennai,First Owner
2019 Ford Ecosport 1.5 Petrol Titanium Plus AT BSIV,₹8.25 Lakh,"Vadapalani, Chennai",Apr 2019,Comprehensive,Petrol,"63,000 Kms",Chennai,First Owner
2012 Honda Brio V MT,₹3.25 Lakh,"Chromepet, Chennai",Mar 2012,Comprehensive,Petrol,"68,000 Kms",Chennai,First Owner
2018 Maruti Baleno 1.2 CVT Alpha,₹6.17 Lakh,"Medavakkam, Chennai",Oct 2018,Zero Dep,Petrol,"80,799 Kms",Chennai,First Owner
2010 Ford Fiesta 1.6 SXi Duratec,₹1.89 Lakh,"Ganapathipuram, Chennai",2010,Expired,Petrol,"1,20,000 Kms",Chennai,Second Owner
2016 Land Rover Discovery Sport SD4 HSE Luxury,₹26.50 Lakh,"Ashoknagar, Chennai",Nov 2016,Comprehensive,Diesel,"75,000 Kms",Chennai,First Owner
2017 BMW X3 xDrive20d Expedition,₹20 Lakh,"Anna Nagar West Extension, Chennai",May 2017,Comprehensive,Diesel,"1,56,000 Kms",Chennai,First Owner
2022 Tata Nexon XZA Plus Dark Edition Diesel,₹11.46 Lakh,"Vadapalani, Chennai",Oct 2022,Comprehensive,Diesel,"17,872 Kms",Chennai,First Owner
2019 Mercedes-Benz GLC 220d 4MATIC,₹40.50 Lakh,"Thygaraya Nagar, Chennai",Jul 2019,Comprehensive,Diesel,"71,001 Kms",Chennai,First Owner
