title,price,location,Registration Year,Insurance,Fuel Type,Kms Driven,RTO,Ownership
2016 Tata Indica V2 DLS BSIII,₹2.50 Lakh,Chennai,2016,Expired,Diesel,"50,000 Kms",Chennai,First Owner
2010 BMW 3 Series 320d,₹7 Lakh,Chennai,2010,Expired,Diesel,"60,000 Kms",Chennai,Second Owner
2017 Maruti Celerio ZXI,₹4.09 Lakh,"Vadapalani, Chennai",Aug 2017,Comprehensive,Petrol,"81,031 Kms",Chennai,First Owner
2018 Hyundai Verna 1.6 VTVT SX,₹6.97 Lakh,"Vadapalani, Chennai",Feb 2018,Comprehensive,Petrol,"74,134 Kms",Salem,Second Owner
2022 Skoda Kushaq 1.0 TSI Style 4 Airbags AT,₹12.55 Lakh,"Thiruverkadu, Chennai",Dec 2022,Zero Dep,Petrol,"49,836 Kms",Chennai,First Owner
2022 Hyundai Verna SX Opt Turbo,₹12.90 Lakh,"Anna Nagar, Chennai",Jan 2023,Third Party,Petrol,"25,000 Kms",Chennai,First Owner
2023 Mahindra Thar LX 4WD Hard Top AT BSVI,₹15.75 Lakh,"Thygaraya Nagar, Chennai",Oct 2023,Comprehensive,Petrol,"5,000 Kms",Chennai,First Owner
2016 Maruti Alto 800 LXI,₹2.65 Lakh,"Thiruverkadu, Chennai",Apr 2016,Comprehensive,Petrol,"43,769 Kms",Chennai,First Owner
2016 Maruti Ciaz AT ZXi,₹4.80 Lakh,"Ganapathipuram, Chennai",Jan 2017,Comprehensive,Petrol,"95,934 Kms",Chennai,Second Owner
2014 Honda Amaze SX i VTEC,₹4.25 Lakh,"MEENAMBAKKAM, Chennai",Sept 2014,Comprehensive,Petrol,"60,983 Kms",Chennai,First Owner
2017 Datsun GO Plus T,₹3.31 Lakh,"Airport, Chennai",Jun 2017,Comprehensive,Petrol,"35,397 Kms",Chennai,First Owner
2015 Tata Zest Quadrajet 1.3 XMS,₹2.70 Lakh,Chennai,2015,Expired,Diesel,"80,000 Kms",Chennai,First Owner
2020 Maruti Baleno Zeta,₹6.12 Lakh,"Ganapathipuram, Chennai",Dec 2020,Expired,Petrol,"40,170 Kms",Chengalpattu,Second Owner
2023 Hyundai Aura S CNG,₹7.71 Lakh,"Thiruverkadu, Chennai",Feb 2024,Expired,CNG,"17,986 Kms",red hills,First Owner
2021 Mercedes-Benz GLC Coupe 300 4MATIC,₹61 Lakh,"Thygaraya Nagar, Chennai",Oct 2021,Comprehensive,Petrol,"33,000 Kms",Chennai,First Owner
2022 Skoda Kushaq 1.5 TSI Style DSG,₹14.64 Lakh,"Airport, Chennai",Jul 2022,Comprehensive,Petrol,"49,571 Kms",Chennai,First Owner
2020 Mahindra Marazzo M6 Plus 8Str BSVI,₹13 Lakh,Chennai,2020,Expired,Diesel,"60,000 Kms",Chennai,First Owner
